Age,Attrition,DistanceFromHome,Education,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
41,Yes,1,2,2,3,2,4,5993,8,Yes,11,3,0,8,0,1,6,4,0,5
49,No,8,1,3,2,2,2,5130,1,No,23,4,1,10,3,3,10,7,1,7
37,Yes,2,2,4,2,1,3,2090,6,Yes,15,3,0,7,3,3,0,0,0,0
33,No,3,4,4,3,1,3,2909,1,Yes,11,3,0,8,3,3,8,7,3,0
27,No,2,1,1,3,1,2,3468,9,No,12,3,1,6,3,3,2,2,2,2
32,No,2,2,4,3,1,4,3068,0,No,13,3,0,8,2,2,7,7,3,6
59,No,3,3,3,4,1,1,2670,4,Yes,20,4,3,12,3,2,1,0,0,0
30,No,24,1,4,3,1,3,2693,1,No,22,4,1,1,2,3,1,0,0,0
38,No,23,3,4,2,3,3,9526,0,No,21,4,0,10,2,3,9,7,1,8
36,No,27,3,3,3,2,3,5237,6,No,13,3,2,17,3,2,7,7,7,7
35,No,16,3,1,4,1,2,2426,0,No,13,3,1,6,5,3,5,4,0,3
29,No,15,2,4,2,2,3,4193,0,Yes,12,3,0,10,3,3,9,5,0,8
31,No,26,1,1,3,1,3,2911,1,No,17,3,1,5,1,2,5,2,4,3
34,No,19,2,2,3,1,4,2661,0,No,11,3,1,3,2,3,2,2,1,2
28,Yes,24,3,3,2,1,3,2028,5,Yes,14,3,0,6,4,3,4,2,0,3
29,No,21,4,2,4,3,1,9980,1,No,11,3,1,10,1,3,10,9,8,8
32,No,5,2,1,4,1,2,3298,0,Yes,12,3,2,7,5,2,6,2,0,5
22,No,16,2,4,4,1,4,2935,1,Yes,13,3,2,1,2,2,1,0,0,0
53,No,2,4,1,2,4,4,15427,2,No,16,3,0,31,3,3,25,8,3,7
38,No,2,3,4,3,1,4,3944,5,Yes,11,3,0,6,3,3,3,2,1,2
24,No,11,2,1,4,2,3,4011,0,No,18,3,1,5,5,2,4,2,1,3
36,Yes,9,4,3,2,1,1,3407,7,No,23,4,0,10,4,3,5,3,0,3
34,No,7,4,1,3,3,2,11994,0,No,11,3,0,13,4,3,12,6,2,11
21,No,15,2,3,3,1,4,1232,1,No,14,3,0,0,6,3,0,0,0,0
34,Yes,6,1,2,3,1,1,2960,2,No,11,3,0,8,2,3,4,2,1,3
53,No,5,3,3,3,5,3,19094,4,No,11,3,1,26,3,2,14,13,4,8
32,Yes,16,1,2,1,1,1,3919,1,Yes,22,4,0,10,5,3,10,2,6,7
42,No,8,4,3,3,2,2,6825,0,No,11,3,1,10,2,3,9,7,4,2
44,No,7,4,1,2,3,4,10248,3,No,14,3,1,24,4,3,22,6,5,17
46,No,2,4,2,3,5,1,18947,3,No,12,3,0,22,2,2,2,2,2,1
33,No,2,3,3,3,1,4,2496,4,No,11,3,0,7,3,3,1,1,0,0
44,No,10,4,4,3,2,4,6465,2,Yes,13,3,0,9,5,4,4,2,1,3
30,No,9,2,4,2,1,3,2206,1,No,13,3,0,10,5,3,10,0,1,8
39,Yes,5,3,4,3,2,4,2086,3,No,14,3,1,19,6,4,1,0,0,0
24,Yes,1,3,2,3,1,4,2293,2,Yes,16,3,1,6,2,2,2,0,2,0
43,No,2,2,4,4,1,3,2645,1,No,12,3,2,6,3,2,5,3,1,4
50,Yes,3,2,1,2,1,3,2683,1,Yes,14,3,0,3,2,3,3,2,0,2
35,No,2,3,4,3,1,4,2014,1,No,13,3,0,2,3,3,2,2,2,2
36,No,5,4,2,2,1,1,3419,9,Yes,14,3,1,6,3,4,1,1,0,0
33,No,1,3,3,4,2,1,5376,2,No,19,3,2,10,3,3,5,3,1,3
35,No,4,2,3,3,1,4,1951,1,No,12,3,1,1,3,3,1,0,0,0
27,No,2,4,4,3,1,1,2341,1,No,13,3,1,1,6,3,1,0,0,0
26,Yes,25,3,1,1,1,3,2293,1,No,12,3,0,1,2,2,1,0,0,1
27,No,8,3,4,3,3,3,8726,1,No,15,3,0,9,0,3,9,8,1,7
30,No,1,2,3,3,2,4,4011,1,No,23,4,0,12,2,3,12,8,3,7
41,Yes,12,3,2,3,5,3,19545,1,No,12,3,0,23,0,3,22,15,15,8
34,No,23,4,2,3,2,3,4568,0,No,20,4,0,10,2,3,9,5,8,7
37,No,19,2,2,3,1,2,3022,4,No,21,4,0,8,1,3,1,0,0,0
46,No,5,4,1,3,2,4,5772,4,Yes,21,4,0,14,4,3,9,6,0,8
35,No,8,1,4,4,1,4,2269,1,No,19,3,0,1,2,3,1,0,0,1
48,Yes,1,2,1,2,3,3,5381,9,Yes,13,3,0,23,2,3,1,0,0,0
28,Yes,5,4,3,3,1,3,3441,1,Yes,13,3,0,2,3,2,2,2,2,2
44,No,1,5,2,3,2,1,5454,5,Yes,21,4,1,9,2,2,4,3,1,3
35,No,11,2,3,2,3,1,9884,2,Yes,13,3,1,10,3,3,4,0,2,3
26,No,23,3,3,2,2,4,4157,7,Yes,19,3,1,5,2,2,2,2,0,0
33,No,1,2,1,3,3,4,13458,1,Yes,12,3,0,15,1,3,15,14,8,12
35,No,18,5,2,3,3,1,9069,1,No,22,4,1,9,3,2,9,8,1,8
35,No,23,4,3,3,1,1,4014,3,Yes,15,3,1,4,3,3,2,2,2,2
31,No,7,4,4,3,2,4,5915,3,No,22,4,1,10,3,2,7,7,1,7
37,No,1,4,1,2,2,3,5993,1,No,18,3,1,7,2,4,7,5,0,7
32,No,1,3,1,3,2,4,6162,1,Yes,22,4,1,9,3,3,9,8,7,8
38,No,29,5,4,3,2,4,2406,1,No,11,3,0,10,2,3,10,3,9,9
50,No,7,2,2,2,5,3,18740,5,Yes,12,3,1,29,2,2,27,3,13,8
59,No,25,3,1,3,3,1,7637,7,No,11,3,0,28,3,2,21,16,7,9
36,No,8,3,3,3,3,3,10096,1,No,13,3,3,17,2,3,17,14,12,8
55,No,8,3,4,3,4,3,14756,2,Yes,14,3,3,21,2,3,5,0,0,2
36,No,11,3,2,2,2,2,6499,1,No,13,3,0,6,3,3,6,5,0,3
45,No,7,3,2,3,3,1,9724,2,No,17,3,1,25,2,3,1,0,0,0
35,No,1,3,2,3,1,1,2194,4,No,13,3,1,5,2,2,3,2,1,2
36,Yes,9,3,4,2,1,3,3388,0,Yes,17,3,1,2,0,2,1,0,0,0
59,No,1,1,1,2,2,3,5473,7,No,11,3,0,20,2,2,4,3,1,3
29,No,2,3,3,3,1,2,2703,0,No,23,4,1,6,3,3,5,4,0,4
31,No,1,4,3,3,1,2,2501,1,No,17,3,0,1,4,3,1,1,1,0
32,No,1,3,2,3,2,2,6220,1,No,17,3,2,10,3,3,10,4,0,9
36,No,6,3,2,4,1,4,3038,3,No,12,3,0,5,3,3,1,0,0,0
31,No,8,4,3,3,2,4,4424,1,No,23,4,0,11,2,3,11,7,1,8
35,No,1,4,3,2,2,1,4312,0,No,14,3,0,16,2,3,15,13,2,8
45,No,6,4,4,3,3,1,13245,4,Yes,14,3,0,17,3,4,0,0,0,0
37,No,7,4,1,3,3,3,13664,4,No,13,3,0,16,3,4,5,2,0,2
46,No,5,2,2,3,2,2,5021,8,Yes,22,4,1,16,2,3,4,2,0,2
30,No,1,1,4,2,2,4,5126,1,Yes,12,3,2,10,1,2,10,8,3,0
35,No,1,3,2,2,1,3,2859,1,No,18,3,0,6,3,3,6,4,0,4
55,No,1,2,1,3,3,4,10239,3,No,14,3,1,24,4,3,1,0,1,0
38,No,6,3,2,1,2,4,5329,7,Yes,12,3,3,17,3,3,13,11,1,9
34,No,1,2,1,3,2,2,4325,1,No,15,3,0,5,2,3,5,2,1,3
56,No,7,3,4,1,3,4,7260,4,No,11,3,0,37,3,2,6,4,0,2
23,No,2,1,3,3,1,1,2322,3,No,13,3,1,3,3,3,0,0,0,0
51,No,9,4,4,3,1,4,2075,3,No,23,4,2,10,4,3,4,2,0,3
30,No,2,3,3,2,2,4,4152,1,No,19,3,3,11,3,3,11,10,10,8
46,Yes,9,2,3,2,3,4,9619,1,No,16,3,0,9,3,3,9,8,4,7
40,No,1,4,3,2,4,2,13503,1,No,22,4,1,22,3,2,22,3,11,11
51,No,21,4,3,3,2,4,5441,0,Yes,22,4,0,11,2,1,10,7,1,0
30,No,4,2,3,2,2,2,5209,1,Yes,12,3,3,11,4,2,11,8,2,7
46,No,1,3,3,2,3,1,10673,2,Yes,13,3,1,21,5,2,10,9,9,5
32,No,6,4,2,3,2,3,5010,1,No,16,3,0,12,0,3,11,8,5,7
54,No,2,4,1,3,3,3,13549,9,No,12,3,1,16,5,1,4,3,0,3
24,No,3,2,1,3,2,3,4999,0,No,21,4,1,4,2,2,3,2,0,2
28,No,4,3,2,3,2,3,4221,1,No,15,3,0,5,3,4,5,4,0,4
58,No,10,4,4,3,4,3,13872,0,No,13,3,0,38,1,2,37,10,1,8
44,No,23,3,2,3,2,2,2042,4,No,12,3,1,17,3,4,3,2,1,2
37,Yes,6,4,3,3,1,1,2073,4,Yes,22,4,0,7,3,3,3,2,0,2
32,No,1,1,4,3,1,1,2956,1,No,13,3,0,1,2,3,1,0,0,0
20,Yes,6,3,4,2,1,4,2926,1,Yes,18,3,0,1,5,3,1,0,1,0
34,No,6,4,1,3,2,3,4809,1,No,14,3,0,16,3,3,16,13,2,10
37,No,2,2,3,2,2,4,5163,5,No,14,3,1,17,2,4,1,0,0,0
59,No,2,4,3,2,5,4,18844,9,No,21,4,1,30,3,3,3,2,2,2
50,No,1,3,1,3,5,2,18172,3,Yes,19,3,0,28,1,2,8,3,0,7
25,Yes,5,3,3,2,2,3,5744,1,Yes,11,3,0,6,1,3,6,4,0,3
25,No,7,1,4,2,1,4,2889,1,No,11,3,2,2,2,3,2,2,2,1
